Modality1,StimulusType1,WordCue1,WordCue1Swedish,Stimulus_file1,Modality2,StimulusType2,WordCue2,WordCue2Swedish,Stimulus_file2,Random,OdorTrigger,Modality,Stimulustype,Target,Cue,SoundFile,Match,ImageFile,Correct,SmellText,nRepOne,nRepTwo,nRepThree,nRepFour,SwedishSoundFile,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,VisualPracticeLoop.thisRepN,VisualPracticeLoop.thisTrialN,VisualPracticeLoop.thisN,VisualPracticeLoop.thisIndex,OlfactoryPracticeLoop.thisRepN,OlfactoryPracticeLoop.thisTrialN,OlfactoryPracticeLoop.thisN,OlfactoryPracticeLoop.thisIndex,routineController.thisRepN,routineController.thisTrialN,routineController.thisN,routineController.thisIndex,routineOne.thisRepN,routineOne.thisTrialN,routineOne.thisN,routineOne.thisIndex,routineTwo.thisRepN,routineTwo.thisTrialN,routineTwo.thisN,routineTwo.thisIndex,innerTwo.thisRepN,innerTwo.thisTrialN,innerTwo.thisN,innerTwo.thisIndex,routineThree.thisRepN,routineThree.thisTrialN,routineThree.thisN,routineThree.thisIndex,routineFour.thisRepN,routineFour.thisTrialN,routineFour.thisN,routineFour.thisIndex,innerThree.thisRepN,innerThree.thisTrialN,innerThree.thisN,innerThree.thisIndex,innerOne.thisRepN,innerOne.thisTrialN,innerOne.thisN,innerOne.thisIndex,innerFour.thisRepN,innerFour.thisTrialN,innerFour.thisN,innerFour.thisIndex,RatingInstructions_1_KeyResponse.keys,RatingInstructions_1_KeyResponse.rt,RatingInstructions_2_KeyResponse.keys,RatingInstructions_2_KeyResponse.rt,RatingInstructions_3_KeyResponse.keys,RatingInstructions_3_KeyResponse.rt,IntensitySlider_VisualRating.response,IntensitySlider_VisualRating.rt,QualitySlider_VisualRating.response,QualitySlider_VisualRating.rt,FruitSlider_VisualRating.response,FruitSlider_VisualRating.rt,FlowerSlider_VisualRating.response,FlowerSlider_VisualRating.rt,IntensitySlider_OlfactoryRating.response,IntensitySlider_OlfactoryRating.rt,QualitySlider_OlfactoryRating.response,QualitySlider_OlfactoryRating.rt,FruitSlider_OlfactoryRating.response,FruitSlider_OlfactoryRating.rt,FlowerSlider_OlfactoryRating.response,FlowerSlider_OlfactoryRating.rt,VisualPractice_KeyResponse.keys,VisualPractice_KeyResponse.rt,KeyResponse_VisualPractice.keys,KeyResponse_VisualPractice.corr,KeyResponse_VisualPractice.rt,OlfactoryPractice_KeyResponse.keys,OlfactoryPractice_KeyResponse.rt,KeyResponse_OlfactoryPractice.keys,KeyResponse_OlfactoryPractice.corr,KeyResponse_OlfactoryPractice.rt,ExperimentInstructions_KeyResponse.keys,ExperimentInstructions_KeyResponse.rt,Wait_OlfactoryCategory_Instructions.started,Wait_OlfactoryCategory_Instructions.stopped,Instructions_OlfactoryCategory_KeyResponse.keys,Instructions_OlfactoryCategory_KeyResponse.rt,KeyResponse_OlfactoryCategory.keys,KeyResponse_OlfactoryCategory.corr,KeyResponse_OlfactoryCategory.rt,SPACEBAR2_OlfactoryCategory.keys,SPACEBAR2_OlfactoryCategory.rt,Instructions_OlfactoryObject_KeyResponse.keys,Instructions_OlfactoryObject_KeyResponse.rt,KeyResponse_OlfactoryObject.keys,KeyResponse_OlfactoryObject.corr,KeyResponse_OlfactoryObject.rt,SPACEBAR2_OlfactoryObject.keys,SPACEBAR2_OlfactoryObject.rt,SPACEBAR_VisualCategory.keys,SPACEBAR_VisualCategory.rt,KeyResponse_VisualCategory.keys,KeyResponse_VisualCategory.corr,KeyResponse_VisualCategory.rt,SPACEBAR2_VisualCategory.keys,SPACEBAR2_VisualCategory.rt,SPACEBAR_VisualStimuli.keys,SPACEBAR_VisualStimuli.rt,Two_VisualObject.started,Two_VisualObject.stopped,KeyResponse_VisualObject.keys,KeyResponse_VisualObject.corr,KeyResponse_VisualObject.rt,VisualObject_Feedbacktext.started,VisualObject_Feedbacktext.stopped,SPACEBAR2_VisualStimuli.keys,SPACEBAR2_VisualStimuli.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,63.132042879704386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,001,2019_Jul_18_1000,Experiment 1_July3,3.1.0,60.00264457906911,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,32.716188532765955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,001,2019_Jul_18_1000,Experiment 1_July3,3.1.0,60.00264457906911,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,45.66584453568794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,001,2019_Jul_18_1000,Experiment 1_July3,3.1.0,60.00264457906911,
Visual,Pear,Pear,Päron,C:\Users\subic\Desktop\Experiment 1\Images\pear.jpg,Olfactory,Lavender,Lavender,Lavendel,Lavender,0.361805686,8,,,,,,,,,,,,,,,0,0,0,0,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.96874999999999,41.458181510679424,98.96874999999999,30.392897875746712,99.278125,32.56089152395725,2.1343750000000012,35.294682312291116,92.16250000000001,11.634316368494183,99.48437500000001,13.468457040376961,1.3093749999999988,15.836378840496764,99.175,18.5381856164895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,001,2019_Jul_18_1000,Experiment 1_July3,3.1.0,60.00264457906911,
Visual,Lemon,Lemon,Citron,C:\Users\subic\Desktop\Experiment 1\Images\lemon.jpg,Olfactory,Pear,Pear,Päron,Pear,0.575663002,2,,,,,,,,,,,,,,,0,0,0,0,0,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.7625,11.450966481817886,99.278125,12.752080735750496,99.278125,15.636099899420515,1.5156249999999982,17.670443437527865,82.2625,9.239524472272024,98.040625,12.007061068201438,98.35000000000001,14.024586041457951,2.237500000000001,15.67619795142673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,001,2019_Jul_18_1000,Experiment 1_July3,3.1.0,60.00264457906911,
Visual,Lilac,Lilac,Syrén,C:\Users\subic\Desktop\Experiment 1\Images\lilac.jpg,Olfactory,Lilac,Lilac,Syrén,Lilac,0.452236628,4,,,,,,,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.040625,10.331577978096902,98.96874999999999,11.832540082745254,2.0312500000000018,13.466878186911345,98.7625,15.901009198278189,83.809375,11.42235692939721,98.7625,12.556693524122238,1.1031249999999997,14.75780928786844,98.96874999999999,16.291843394748867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,001,2019_Jul_18_1000,Experiment 1_July3,3.1.0,60.00264457906911,
Visual,Lavender,Lavender,Lavendel,C:\Users\subic\Desktop\Experiment 1\Images\lavender.jpg,Olfactory,Lemon,Lemon,Citron,Lemon,0.892367748,1,,,,,,,,,,,,,,,0,0,0,0,0,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.08125,10.05083123780787,99.690625,11.80199001962319,1,13.302708202041686,98.7625,15.787071513244882,81.128125,11.438475123373792,96.184375,13.722710435744375,94.43124999999999,16.673650050070137,2.4437500000000005,17.8911514764186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,001,2019_Jul_18_1000,Experiment 1_July3,3.1.0,60.00264457906911,
Visual,Lilac,Lilac,Syrén,C:\Users\subic\Desktop\Experiment 1\Images\lilac.jpg,Olfactory,Lilac,Lilac,Syrén,Lilac,0.81958672,4,,,,,,,,,,,,,,,0,0,0,0,0,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.14375,10.303782908944413,99.175,11.204932785360143,1.5156249999999982,12.889192852657288,99.175,14.490597820840776,77.621875,13.055794211570174,93.503125,15.473288392880931,2.1343750000000012,17.074737436370924,97.52499999999999,18.29196897847578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,001,2019_Jul_18_1000,Experiment 1_July3,3.1.0,60.00264457906911,
Visual,Pear,Pear,Päron,C:\Users\subic\Desktop\Experiment 1\Images\pear.jpg,Olfactory,Lemon,Lemon,Citron,Lemon,0.193946594,1,,,,,,,,,,,,,,,0,0,0,0,0,5,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.52499999999999,10.323102281196043,100.0,11.707237066468224,99.07187499999999,13.358143775258213,2.0312500000000018,15.109048370737582,62.153124999999996,10.187230908079073,91.853125,14.104760409565642,94.946875,16.455972323426977,3.784375000000001,17.506536091677845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,001,2019_Jul_18_1000,Experiment 1_July3,3.1.0,60.00264457906911,
Visual,Lavender,Lavender,Lavendel,C:\Users\subic\Desktop\Experiment 1\Images\lavender.jpg,Olfactory,Pear,Pear,Päron,Pear,0.869429028,2,,,,,,,,,,,,,,,0,0,0,0,0,6,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.575,10.103647061390802,98.96874999999999,11.004739579744637,1.6187499999999977,12.972128252498806,98.453125,14.223128545330837,71.640625,10.555395422736183,95.46249999999999,13.006357678445056,96.49375,14.507542573148385,1.8250000000000026,16.091608528979123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,001,2019_Jul_18_1000,Experiment 1_July3,3.1.0,60.00264457906911,
