Modality1,StimulusType1,WordCue1,WordCue1Swedish,Stimulus_file1,Modality2,StimulusType2,WordCue2,WordCue2Swedish,Stimulus_file2,Random,OdorTrigger,Modality,Stimulustype,Target,Cue,SoundFile,Match,ImageFile,Correct,SmellText,nRepOne,nRepTwo,nRepThree,nRepFour,SwedishSoundFile,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,VisualPracticeLoop.thisRepN,VisualPracticeLoop.thisTrialN,VisualPracticeLoop.thisN,VisualPracticeLoop.thisIndex,OlfactoryPracticeLoop.thisRepN,OlfactoryPracticeLoop.thisTrialN,OlfactoryPracticeLoop.thisN,OlfactoryPracticeLoop.thisIndex,routineController.thisRepN,routineController.thisTrialN,routineController.thisN,routineController.thisIndex,routineOne.thisRepN,routineOne.thisTrialN,routineOne.thisN,routineOne.thisIndex,routineTwo.thisRepN,routineTwo.thisTrialN,routineTwo.thisN,routineTwo.thisIndex,routineThree.thisRepN,routineThree.thisTrialN,routineThree.thisN,routineThree.thisIndex,innerThree.thisRepN,innerThree.thisTrialN,innerThree.thisN,innerThree.thisIndex,routineFour.thisRepN,routineFour.thisTrialN,routineFour.thisN,routineFour.thisIndex,innerOne.thisRepN,innerOne.thisTrialN,innerOne.thisN,innerOne.thisIndex,innerFour.thisRepN,innerFour.thisTrialN,innerFour.thisN,innerFour.thisIndex,innerTwo.thisRepN,innerTwo.thisTrialN,innerTwo.thisN,innerTwo.thisIndex,RatingInstructions_1_KeyResponse.keys,RatingInstructions_1_KeyResponse.rt,RatingInstructions_2_KeyResponse.keys,RatingInstructions_2_KeyResponse.rt,RatingInstructions_3_KeyResponse.keys,RatingInstructions_3_KeyResponse.rt,IntensitySlider_VisualRating.response,IntensitySlider_VisualRating.rt,QualitySlider_VisualRating.response,QualitySlider_VisualRating.rt,FruitSlider_VisualRating.response,FruitSlider_VisualRating.rt,FlowerSlider_VisualRating.response,FlowerSlider_VisualRating.rt,IntensitySlider_OlfactoryRating.response,IntensitySlider_OlfactoryRating.rt,QualitySlider_OlfactoryRating.response,QualitySlider_OlfactoryRating.rt,FruitSlider_OlfactoryRating.response,FruitSlider_OlfactoryRating.rt,FlowerSlider_OlfactoryRating.response,FlowerSlider_OlfactoryRating.rt,VisualPractice_KeyResponse.keys,VisualPractice_KeyResponse.rt,KeyResponse_VisualPractice.keys,KeyResponse_VisualPractice.corr,KeyResponse_VisualPractice.rt,OlfactoryPractice_KeyResponse.keys,OlfactoryPractice_KeyResponse.rt,KeyResponse_OlfactoryPractice.keys,KeyResponse_OlfactoryPractice.corr,KeyResponse_OlfactoryPractice.rt,ExperimentInstructions_KeyResponse.keys,ExperimentInstructions_KeyResponse.rt,Instructions_OlfactoryObject_KeyResponse.keys,Instructions_OlfactoryObject_KeyResponse.rt,KeyResponse_OlfactoryObject.keys,KeyResponse_OlfactoryObject.corr,KeyResponse_OlfactoryObject.rt,SPACEBAR2_OlfactoryObject.keys,SPACEBAR2_OlfactoryObject.rt,SPACEBAR_VisualCategory.keys,SPACEBAR_VisualCategory.rt,KeyResponse_VisualCategory.keys,KeyResponse_VisualCategory.corr,KeyResponse_VisualCategory.rt,SPACEBAR2_VisualCategory.keys,SPACEBAR2_VisualCategory.rt,SPACEBAR_VisualStimuli.keys,SPACEBAR_VisualStimuli.rt,Two_VisualObject.started,Two_VisualObject.stopped,KeyResponse_VisualObject.keys,KeyResponse_VisualObject.corr,KeyResponse_VisualObject.rt,VisualObject_Feedbacktext.started,VisualObject_Feedbacktext.stopped,SPACEBAR2_VisualStimuli.keys,SPACEBAR2_VisualStimuli.rt,Wait_OlfactoryCategory_Instructions.started,Wait_OlfactoryCategory_Instructions.stopped,Instructions_OlfactoryCategory_KeyResponse.keys,Instructions_OlfactoryCategory_KeyResponse.rt,KeyResponse_OlfactoryCategory.keys,KeyResponse_OlfactoryCategory.corr,KeyResponse_OlfactoryCategory.rt,SPACEBAR2_OlfactoryCategory.keys,SPACEBAR2_OlfactoryCategory.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,34.03257087478414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127,001,2019_Aug_07_1404,Experiment 1_July3,3.1.0,60.0272182111405,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,35.49923653481528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127,001,2019_Aug_07_1404,Experiment 1_July3,3.1.0,60.0272182111405,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,34.8492397046648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127,001,2019_Aug_07_1404,Experiment 1_July3,3.1.0,60.0272182111405,
Visual,Lavender,Lavender,Lavendel,C:\Users\subic\Desktop\Experiment 1\Images\lavender.jpg,Olfactory,Lemon,Lemon,Citron,Lemon,0.226239152,1,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.60312499999999,48.84019163576886,94.121875,53.824621060397476,17.396875,57.642145429272205,97.1125,59.6262192344293,86.284375,13.968807527795434,87.41875,16.58670683717355,94.6375,21.48720041802153,23.481250000000003,23.43855723552406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127,001,2019_Aug_07_1404,Experiment 1_July3,3.1.0,60.0272182111405,
Visual,Lilac,Lilac,Syrén,C:\Users\subic\Desktop\Experiment 1\Images\lilac.jpg,Olfactory,Lemon,Lemon,Citron,Lemon,0.346289207,1,,,,,,,,,,,,,,,0,0,0,0,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.14062499999999,10.933337962254882,90.71875,13.51765810418874,27.296875,15.702000585850328,96.28750000000001,17.536136427428573,89.996875,11.348116394598037,92.059375,13.59892770787701,97.1125,16.099881359376013,16.159375,18.084400744643062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127,001,2019_Aug_07_1404,Experiment 1_July3,3.1.0,60.0272182111405,
Visual,Lemon,Lemon,Citron,C:\Users\subic\Desktop\Experiment 1\Images\lemon.jpg,Olfactory,Lavender,Lavender,Lavendel,Lavender,0.035447531,8,,,,,,,,,,,,,,,0,0,0,0,0,2,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.575,10.873459863010794,98.453125,13.241088231559843,91.75000000000001,17.558422112371773,12.549999999999997,19.526647003833205,89.27499999999999,11.668644812423736,95.87499999999999,13.569516955409199,12.549999999999997,16.60394743597135,97.00937499999999,33.471359957475215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127,001,2019_Aug_07_1404,Experiment 1_July3,3.1.0,60.0272182111405,
Visual,Lemon,Lemon,Citron,C:\Users\subic\Desktop\Experiment 1\Images\lemon.jpg,Olfactory,Pear,Pear,Päron,Pear,0.860206065,2,,,,,,,,,,,,,,,0,0,0,0,0,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.359375,10.761395670473576,95.565625,13.012298152782023,94.84375000000001,16.246896480675787,14.406250000000002,18.164817828219384,81.54062499999999,12.005285989493132,83.190625,14.606083567719907,96.596875,16.690460765734315,15.23125,18.591380606405437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127,001,2019_Aug_07_1404,Experiment 1_July3,3.1.0,60.0272182111405,
Visual,Pear,Pear,Päron,C:\Users\subic\Desktop\Experiment 1\Images\pear.jpg,Olfactory,Lilac,Lilac,Syrén,Lilac,0.701159639,4,,,,,,,,,,,,,,,0,0,0,0,0,4,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.946875,10.172455494757742,95.25625000000001,20.506759486161172,100.0,24.07408234803006,14.509375000000002,26.608900749590248,75.35312499999999,11.622215648181736,76.17812500000001,14.039858356118202,23.89375,16.34130890900269,94.01875,18.358570035547018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127,001,2019_Aug_07_1404,Experiment 1_July3,3.1.0,60.0272182111405,
Visual,Lilac,Lilac,Syrén,C:\Users\subic\Desktop\Experiment 1\Images\lilac.jpg,Olfactory,Pear,Pear,Päron,Pear,0.310254121,2,,,,,,,,,,,,,,,0,0,0,0,0,5,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.6375,10.22026728792116,95.97812499999999,14.438109239563346,6.981250000000001,17.03881806321442,100,18.656541676726192,74.528125,11.15582711668685,75.76562499999999,13.673414580523968,88.55312500000001,17.240876912605017,14.096874999999997,19.575416977517307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127,001,2019_Aug_07_1404,Experiment 1_July3,3.1.0,60.0272182111405,
Visual,Pear,Pear,Päron,C:\Users\subic\Desktop\Experiment 1\Images\pear.jpg,Olfactory,Lavender,Lavender,Lavendel,Lavender,0.894649428,8,,,,,,,,,,,,,,,0,0,0,0,0,6,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.246875,10.739525981247425,98.35000000000001,20.473395260050893,98.7625,24.70763615705073,3.5781250000000018,29.408730486873537,94.32812499999999,11.535620206035674,94.84375000000001,14.369798914995044,3.3718750000000024,16.637336416635662,96.39062500000001,24.621663803700358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127,001,2019_Aug_07_1404,Experiment 1_July3,3.1.0,60.0272182111405,
