Modality1,StimulusType1,WordCue1,WordCue1Swedish,Stimulus_file1,Modality2,StimulusType2,WordCue2,WordCue2Swedish,Stimulus_file2,Random,OdorTrigger,Modality,Stimulustype,Target,Cue,SoundFile,Match,ImageFile,Correct,SmellText,nRepOne,nRepTwo,nRepThree,nRepFour,SwedishSoundFile,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,VisualPracticeLoop.thisRepN,VisualPracticeLoop.thisTrialN,VisualPracticeLoop.thisN,VisualPracticeLoop.thisIndex,OlfactoryPracticeLoop.thisRepN,OlfactoryPracticeLoop.thisTrialN,OlfactoryPracticeLoop.thisN,OlfactoryPracticeLoop.thisIndex,routineController.thisRepN,routineController.thisTrialN,routineController.thisN,routineController.thisIndex,routineOne.thisRepN,routineOne.thisTrialN,routineOne.thisN,routineOne.thisIndex,routineTwo.thisRepN,routineTwo.thisTrialN,routineTwo.thisN,routineTwo.thisIndex,innerTwo.thisRepN,innerTwo.thisTrialN,innerTwo.thisN,innerTwo.thisIndex,routineThree.thisRepN,routineThree.thisTrialN,routineThree.thisN,routineThree.thisIndex,routineFour.thisRepN,routineFour.thisTrialN,routineFour.thisN,routineFour.thisIndex,innerThree.thisRepN,innerThree.thisTrialN,innerThree.thisN,innerThree.thisIndex,innerOne.thisRepN,innerOne.thisTrialN,innerOne.thisN,innerOne.thisIndex,innerFour.thisRepN,innerFour.thisTrialN,innerFour.thisN,innerFour.thisIndex,RatingInstructions_1_KeyResponse.keys,RatingInstructions_1_KeyResponse.rt,RatingInstructions_2_KeyResponse.keys,RatingInstructions_2_KeyResponse.rt,RatingInstructions_3_KeyResponse.keys,RatingInstructions_3_KeyResponse.rt,IntensitySlider_VisualRating.response,IntensitySlider_VisualRating.rt,QualitySlider_VisualRating.response,QualitySlider_VisualRating.rt,FruitSlider_VisualRating.response,FruitSlider_VisualRating.rt,FlowerSlider_VisualRating.response,FlowerSlider_VisualRating.rt,IntensitySlider_OlfactoryRating.response,IntensitySlider_OlfactoryRating.rt,QualitySlider_OlfactoryRating.response,QualitySlider_OlfactoryRating.rt,FruitSlider_OlfactoryRating.response,FruitSlider_OlfactoryRating.rt,FlowerSlider_OlfactoryRating.response,FlowerSlider_OlfactoryRating.rt,VisualPractice_KeyResponse.keys,VisualPractice_KeyResponse.rt,KeyResponse_VisualPractice.keys,KeyResponse_VisualPractice.corr,KeyResponse_VisualPractice.rt,OlfactoryPractice_KeyResponse.keys,OlfactoryPractice_KeyResponse.rt,KeyResponse_OlfactoryPractice.keys,KeyResponse_OlfactoryPractice.corr,KeyResponse_OlfactoryPractice.rt,ExperimentInstructions_KeyResponse.keys,ExperimentInstructions_KeyResponse.rt,Wait_OlfactoryCategory_Instructions.started,Wait_OlfactoryCategory_Instructions.stopped,Instructions_OlfactoryCategory_KeyResponse.keys,Instructions_OlfactoryCategory_KeyResponse.rt,KeyResponse_OlfactoryCategory.keys,KeyResponse_OlfactoryCategory.corr,KeyResponse_OlfactoryCategory.rt,SPACEBAR2_OlfactoryCategory.keys,SPACEBAR2_OlfactoryCategory.rt,Instructions_OlfactoryObject_KeyResponse.keys,Instructions_OlfactoryObject_KeyResponse.rt,KeyResponse_OlfactoryObject.keys,KeyResponse_OlfactoryObject.corr,KeyResponse_OlfactoryObject.rt,SPACEBAR2_OlfactoryObject.keys,SPACEBAR2_OlfactoryObject.rt,SPACEBAR_VisualCategory.keys,SPACEBAR_VisualCategory.rt,KeyResponse_VisualCategory.keys,KeyResponse_VisualCategory.corr,KeyResponse_VisualCategory.rt,SPACEBAR2_VisualCategory.keys,SPACEBAR2_VisualCategory.rt,SPACEBAR_VisualStimuli.keys,SPACEBAR_VisualStimuli.rt,Two_VisualObject.started,Two_VisualObject.stopped,KeyResponse_VisualObject.keys,KeyResponse_VisualObject.corr,KeyResponse_VisualObject.rt,VisualObject_Feedbacktext.started,VisualObject_Feedbacktext.stopped,SPACEBAR2_VisualStimuli.keys,SPACEBAR2_VisualStimuli.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,94.11436032282654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164,001,2019_Oct_03_1556,Experiment 1_July3,3.1.0,60.00351416504699,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,28.399829133646563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164,001,2019_Oct_03_1556,Experiment 1_July3,3.1.0,60.00351416504699,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,55.165557443979196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164,001,2019_Oct_03_1556,Experiment 1_July3,3.1.0,60.00351416504699,
Visual,Lemon,Lemon,Citron,C:\Users\subic\Desktop\Experiment 1\Images\lemon.jpg,Olfactory,Pear,Pear,Päron,Pear,0.815723572,2,,,,,,,,,,,,,,,0,0,0,0,0,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.503125000000004,15.337174908607267,100,17.6215810875874,100.0,34.588701083441265,6.259374999999998,49.32232402416412,62.565625,11.671606898657046,100,13.07272990734782,100,15.273425448220223,25.75,16.840909516322426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164,001,2019_Oct_03_1556,Experiment 1_July3,3.1.0,60.00351416504699,
Visual,Pear,Pear,Päron,C:\Users\subic\Desktop\Experiment 1\Images\pear.jpg,Olfactory,Lilac,Lilac,Syrén,Lilac,0.12742309,4,,,,,,,,,,,,,,,0,0,0,0,0,1,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.03125,9.569858084316365,100,11.720814603962936,100.0,13.788289917283691,10.796874999999998,15.856547714211047,86.8,13.019968422944658,100.0,11.587634828989394,1.0,16.505474063567817,100,17.623059111996554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164,001,2019_Oct_03_1556,Experiment 1_July3,3.1.0,60.00351416504699,
Visual,Lavender,Lavender,Lavendel,C:\Users\subic\Desktop\Experiment 1\Images\lavender.jpg,Olfactory,Lemon,Lemon,Citron,Lemon,0.422391004,1,,,,,,,,,,,,,,,0,0,0,0,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.19375,9.833541130181402,100,11.11767682095524,1,12.768969337572344,100,13.669375975499861,70.815625,13.954807956470177,100,15.172405382036231,13.065625,19.039978505927138,75.45625,20.807383480365388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164,001,2019_Oct_03_1556,Experiment 1_July3,3.1.0,60.00351416504699,
Visual,Pear,Pear,Päron,C:\Users\subic\Desktop\Experiment 1\Images\pear.jpg,Olfactory,Lavender,Lavender,Lavendel,Lavender,0.609649262,8,,,,,,,,,,,,,,,0,0,0,0,0,3,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.546875,9.273641597130336,100,10.391128835151903,100,11.292017883621156,11.51875,13.109699836699292,77.51875,11.684929042123258,100,12.686036352883093,1,14.270643888507038,100,15.120953470584936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164,001,2019_Oct_03_1556,Experiment 1_July3,3.1.0,60.00351416504699,
Visual,Lemon,Lemon,Citron,C:\Users\subic\Desktop\Experiment 1\Images\lemon.jpg,Olfactory,Lilac,Lilac,Syrén,Lilac,0.264201159,4,,,,,,,,,,,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.009375,13.357032238156535,100,11.791434341692366,100,9.959039163426496,1,10.710124285658821,75.14687500000001,9.805477384361438,100,10.956332470988855,1.0,14.524021820281632,100,15.375180904055014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164,001,2019_Oct_03_1556,Experiment 1_July3,3.1.0,60.00351416504699,
Visual,Lilac,Lilac,Syrén,C:\Users\subic\Desktop\Experiment 1\Images\lilac.jpg,Olfactory,Lemon,Lemon,Citron,Lemon,0.123939012,1,,,,,,,,,,,,,,,0,0,0,0,0,5,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.4375,9.185080286115408,100,10.685914391768165,4.506249999999999,13.236733856028877,100,14.25418215082027,66.690625,9.55559225124307,100,10.756964616128244,85.871875,14.874134875833988,1,17.02507690503262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164,001,2019_Oct_03_1556,Experiment 1_July3,3.1.0,60.00351416504699,
Visual,Lilac,Lilac,Syrén,C:\Users\subic\Desktop\Experiment 1\Images\lilac.jpg,Olfactory,Pear,Pear,Päron,Pear,0.475122472,2,,,,,,,,,,,,,,,0,0,0,0,0,6,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.909375,9.509070710279047,100,10.79330662661232,1,12.660867675207555,100,14.762062834110111,65.453125,10.539047797210515,100,12.106795108295046,100,13.407961286371574,11.51875,20.624883095384575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164,001,2019_Oct_03_1556,Experiment 1_July3,3.1.0,60.00351416504699,
